describe myself as;stable in my career
I enjoy;making people laugh
other people’s;feelings
I like being;spontaneous
with little;gestures
When I’m;with someone special
having that type;of fun you see two people who just met in the movies having
someone who;they can connect with
someone who they;can connect with
there has to be;mutual physical attraction
having good;looks
Having some;similar interests
having romantic;nights at home
having a;blast
that was a;movie
making people;laugh
