not interested in;most guys
far from being;a feminist
Sarcasm is;a spice of life
whose side;you are on
don’t like most;guys
offended by a;dirty joke
a dirty;joke
What’s your;story
What are your;greatest pet-peeves
What are;your greatest pet-peeves
what makes you;weak
what makes you;weak in your knees from joy and happiness

