I am not;your average guy
I am not your;average guy
things that make me;unique
an avid;collector of memories
just have to;ask
been told;I'm a gentleman
looking for just;sex
I am looking;for a relationship
being attached;at the hip
keeps me;active
going to;the opera
new places to;eat
cuddled up with;that special someone
If I;send you a message and you happen to read it
Even if;you are not interested
You won't;offend me
collector of;memories
hiking in;the woods
looking for;new places to eat
