I’m just a;girl
a girl with;a masters degree
I share my;apartment
all of my;secrets 
be careful of;what you tell me
Joker knows;all
hotter than a;guy who loves spending time on crosswords
a guy who;loves spending time on crosswords
spending time on;crosswords
I also enjoy;puns
My favorite movie is;Homeward Bound
relax with a;good cup of joe
cup of;joe
