curled up on;the couch
watching my;favorite TV show
Instead of going;to a bar or concert
Instead of going to;a bar or concert
my closest;friends
playing some;Scrabble
I like going;out
walks in;the park
favorite places to;hang out
places to;hang out
I can be a little;bit shy
when it is;the right person
I am being;observant
taking everything;in
