introduce me to;new things
keep me;in line
does not include;a shirtless photo
photo of;her with her car
photo of her;with her car
Not my;type
a woman who;is confident
a woman who is;confident
likes to play;
can keep it;real
Not a;player
intelligent and;funny
beautiful and;patient
woman who can;surprise me
who will support;me
want me to;do the same to her
