always planning;something
group of;friends
a little too;crazy
Well, that’s;me
I’m an;event planner by trade
I’m an;event planner
Putting together;experiences
going for a;hike
a visit to a;new local brewery
trying a new;dinner spot
taking a;walk
a big ball of;energy
who can keep;up
keep me on;my toes
keep me;on my toes
