I graduated from;a five-year masters program
want success;in every aspect of my life
success in;every aspect of my life
I'm very;adventurous
live life;on the edge
random and;spontaneous
I'm pretty much;game for anything
game for;anything
I decided to;dye my hair red
when I decided;to move to New York
find a new;job
doing things without;notice
passion for;traveling
more diverse;cultures
plan to go;to South Africa
rest of;the world
I'm eager to;see the rest of the world
