look at my;photos
it means;I've passed the photo test
passed the;photo test
New York after;college
I'm super;happy
attending a;charity event
baseball game in;Queens
As long as I'm;surrounded by good people
surrounded by;good people
a way to;have fun
I could go;on and on
I've decided to;throw caution to the wind
looking to find;that smart and funny woman
I was born in;Connecticut
ended up on;the west coast
