I am an;amateur of all trades
an aspiring;chef
a would-be;skateboarder
I just like to;try everything once
learning new;things
show me something;new
I’m a part time;nurse
going to school for;my MBA
school for;my MBA
when I’m not;meeting interesting new people
charity work for;the homeless
I like doing;charity work for the homeless
I like doing;charity work
that sounds;corny
I have a;story there
tale of;betrayal and revenge
betrayal and;revenge
just ask;
