what it takes to;make a relationship work
make a relationship;work
who knows;what it takes to make a relationship work
what I want to;hear
ready for;something serious
Knows how to;treat a lady
long term;relationship
say what;you mean
live on the;East Coast
Being in;California
I am willing to;entertain
looking to meet;someone
Relocating for;the right person
